iter	Passed	Remaining
0	7	3651
1	10	2688
2	13	2182
3	15	1981
4	18	1871
5	21	1803
6	23	1679
7	26	1646
8	29	1614
9	32	1577
10	35	1577
11	37	1538
12	40	1512
13	43	1519
14	45	1480
15	48	1475
16	50	1431
17	53	1428
18	56	1418
19	58	1411
20	61	1414
21	64	1403
22	67	1398
23	70	1389
24	72	1382
25	75	1376
26	78	1370
27	80	1358
28	83	1348
29	85	1343
30	88	1333
31	90	1322
32	93	1321
33	96	1321
34	99	1317
35	101	1313
36	104	1306
37	106	1298
38	109	1294
39	112	1288
40	114	1282
41	117	1284
42	120	1280
43	123	1275
44	126	1274
45	129	1274
46	131	1268
47	134	1265
48	137	1263
49	140	1262
50	144	1268
51	146	1265
52	150	1270
53	153	1269
54	156	1267
55	159	1267
56	162	1261
57	163	1248
58	166	1246
59	169	1240
60	171	1234
61	174	1232
62	177	1228
63	179	1225
64	182	1224
65	185	1221
66	187	1213
67	190	1211
68	193	1206
69	195	1202
70	198	1199
71	201	1197
72	203	1192
73	206	1187
74	208	1184
75	211	1179
76	213	1173
77	215	1168
78	218	1162
79	220	1159
80	223	1156
81	225	1150
82	227	1145
83	230	1140
84	232	1135
85	235	1132
86	237	1128
87	239	1123
88	242	1118
89	244	1112
90	247	1111
91	249	1106
92	251	1099
93	254	1097
94	257	1095
95	259	1090
96	261	1086
97	263	1082
98	265	1077
99	268	1075
100	271	1073
101	273	1068
102	275	1063
103	277	1058
104	280	1054
105	283	1052
106	285	1048
107	287	1044
108	289	1040
109	292	1038
110	295	1035
111	297	1028
112	299	1025
113	302	1023
114	304	1020
115	307	1016
116	309	1012
117	311	1009
118	314	1008
119	317	1003
120	319	1000
121	322	997
122	324	993
123	326	989
124	328	986
125	331	984
126	333	980
127	336	977
128	338	974
129	341	970
130	343	966
131	344	960
132	346	956
133	349	953
134	351	950
135	353	946
136	356	944
137	358	940
138	361	938
139	363	935
140	366	932
141	368	929
142	371	926
143	373	922
144	375	919
145	377	915
146	379	912
147	382	909
148	384	905
149	387	903
150	389	900
151	391	897
152	394	894
153	397	892
154	400	890
155	402	888
156	405	886
157	407	882
158	409	878
159	412	876
160	414	873
161	417	871
162	420	869
163	422	865
164	424	862
165	426	858
166	429	855
167	431	853
168	433	849
169	436	846
170	438	843
171	440	839
172	442	836
173	444	832
174	446	829
175	448	826
176	451	823
